142, 142, 142, 142, 142, 133, 133, 133, 216, 216, 173, 223, 202, 247, 247, 202, 202, 223, 173, 173, 173, 167, 216, 216, 167, 216, 216, 167, 133, 142, 142, 142,
142, 142, 142, 142, 142, 142, 142, 133, 133, 216, 216, 223, 223, 202, 247, 247, 202, 223, 173, 173, 173, 173, 167, 216, 216, 216, 216, 216, 133, 133, 142, 142,
142, 142, 142, 142, 142, 142, 142, 142, 133, 133, 216, 173, 223, 223, 202, 247, 247, 223, 223, 173, 173, 173, 173, 173, 173, 216, 167, 216, 216, 133, 133, 142,
142, 142, 142, 142, 142, 142, 142, 142, 142, 133, 216, 216, 173, 223, 202, 247, 247, 247, 223, 173, 173, 173, 173, 173, 167, 173, 216, 216, 216, 216, 133, 142,
142, 142, 142, 142, 142, 142, 142, 142, 142, 133, 133, 216, 216, 223, 223, 247, 247, 247, 223, 223, 202, 173, 173, 173, 173, 173, 216, 216, 167, 216, 133, 133,
142, 142, 142, 142, 142, 142, 142, 142, 142, 133, 133, 133, 216, 173, 223, 223, 247, 247, 247, 223, 202, 202, 202, 173, 173, 173, 167, 216, 216, 216, 133, 133,
142, 142, 142, 142, 142, 142, 142, 142, 142, 133, 133, 133, 216, 216, 173, 223, 247, 247, 247, 223, 202, 202, 202, 173, 173, 173, 216, 216, 216, 133, 133, 142,
142, 142, 142, 142, 142, 142, 142, 142, 133, 133, 133, 216, 216, 216, 173, 223, 247, 247, 247, 223, 202, 202, 202, 173, 173, 173, 216, 216, 216, 133, 133, 142,
142, 142, 142, 142, 142, 142, 133, 133, 133, 133, 216, 216, 216, 173, 223, 223, 202, 247, 247, 223, 202, 202, 202, 173, 173, 216, 216, 216, 216, 133, 133, 142,
142, 142, 142, 142, 142, 133, 133, 133, 133, 216, 216, 173, 173, 173, 223, 202, 202, 247, 247, 223, 202, 202, 202, 173, 173, 216, 167, 216, 133, 133, 142, 142,
142, 142, 142, 133, 133, 133, 216, 216, 216, 173, 173, 173, 223, 223, 223, 202, 202, 247, 247, 223, 202, 202, 202, 173, 173, 216, 216, 216, 216, 133, 133, 142,
142, 142, 142, 133, 133, 216, 216, 173, 173, 173, 223, 223, 223, 202, 202, 202, 247, 247, 247, 223, 202, 202, 173, 173, 167, 216, 216, 216, 133, 142, 142, 142,
142, 142, 142, 133, 216, 216, 173, 173, 202, 202, 223, 202, 202, 202, 202, 202, 247, 247, 223, 223, 202, 202, 173, 173, 216, 216, 216, 216, 133, 133, 142, 142,
142, 142, 133, 133, 216, 202, 202, 202, 202, 202, 223, 202, 202, 202, 202, 247, 247, 247, 223, 202, 202, 202, 173, 173, 216, 216, 167, 216, 133, 133, 133, 142,
